Frases,Codi,Google,Errors,Apertium,Errors,ChatGPT,,Softcatala,Errors,Gemini,Errors,Yandex,
He comprado un libro nuevo a mi hijo y esta tarde se lo daré.,1,He comprat un llibre nou al meu fill i aquesta tarda els ho donaré.,1,He comprat un llibre nou al meu fill i aquesta tarda li ho donaré.,1,He comprat un llibre nou al meu fill i aquesta tarda se'l donaré.,1,He comprat un llibre nou al meu fill i aquesta tarda li ho donaré.,1,Li regalaré un llibre nou al meu fill aquesta tarda.,1,He comprat un llibre nou per al meu fill i el donaré aquesta tarda.,1
Coso el gorro rojo a mi madre pero no se lo regalo.,1,Coso la gorra vermella a la meva mare però no li regalo.,1,Cuso el capell vermell a la meva mare però no li ho regalo.,1,Coso el barret vermell a la meva mare però no li ho regalo.,1,Cuso el capell vermell a la meva mare però no li ho regalo.,1,"Coso el barret vermell a la meva mare, però no li regalo.",1,Vaig cosir el barret vermell a la meva mare però no li dono.,1
Consigue el libro para su prima pero no se lo da.,1,Aconsegueix el llibre per a la seva cosina però no els hi dóna.,1,Aconsegueix el llibre per a la seva cosina però no li ho dóna.,1,Aconsegueix el llibre per a la seva cosina però no li ho dóna.,1,Aconsegueix el llibre per a la seva cosina però no li ho dona.,1,"Consegueix el llibre per a la seva cosina, però no li dona.",1,Rep el llibre per al seu cosí però no li el dóna.,1
Cocino bombones a mi madre y se los doy.,1,Cuino bombons a la meva mare i els hi dono.,,Cuino bombons a la meva mare i els hi dono.,,Cuino bombons a la meva mare i els li dono.,,Cuino bombons a la meva mare i els hi dono.,,Cuino bombons a la meva mare i li'ls dono.,,Cuino bombons per a la meva mare i els dono.,1
No entiendo a Dios pero creo en él.,2,No entenc Déu però hi crec.,,No entenc a Déu però crec en ell.,1,No entenc Déu però crec en ell.,1,No entenc a Déu però crec en ell.,1,"No entenc Déu, però crec en ell.",1,"No entenc Déu, però crec en Ell.",1
Pienso en Dios pero no creo.,2,Penso en Déu però no ho crec.,1,Penso en Déu però no crec.,1,Penso en Déu però no hi crec.,,Penso en Déu però no crec.,1,"Penso en Déu, però no crec.",1,"Penso En Déu, però no m'ho crec.",1
Me han operado del ojo y no veo.,2,M'han operat de l'ull i no hi veig.,,M'han operat de l'ull i no veig.,1,M'han operat de l'ull i no veig.,1,M'han operat de l'ull i no veig.,1,M'han operat de l'ull i no veig.,1,M'han operat els ulls i no hi veig res.,
Hay mucho ruido aquí y no oigo.,2,Hi ha molt de soroll aquí i no sento.,1,Hi ha molt de soroll aquí i no sento.,1,Hi ha molt soroll aquí i no sento.,1,Hi ha molt de soroll aquí i no sento.,1,Hi ha molt soroll aquí i no sento.,1,Aquí hi ha molt soroll i no puc escoltar.,1
"Los amigos le han pedido la cámara tantas veces, que al final se la ha dejado.",1,"Els amics li han demanat la càmera tantes vegades, que al final l'hi ha deixat.",1,"Els amics li han demanat la cambra tantes vegades, que al final la hi ha deixat.",1,"Els amics li han demanat la càmera tantes vegades, que al final se la ha deixat.",1,"Els amics li han demanat la cambra tantes vegades, que al final la hi ha deixat.",1,Els amics li han demanat la càmera tantes vegades que al final se la ha deixat.,1,"Els amics li han demanat la càmera tantes vegades, que al final l'ha deixat.",1
Le hemos dicho que no queríamos bocadillos pero al final ha acabado preparando dos a cada uno.,3,Li hem dit que no volíem entrepans però al final n'ha acabat preparant dos a cadascun.,,Li hem dit que no volíem entrepans però al final ha acabat preparant dos a cadascun.,1,Li hem dit que no volíem entrepans però al final ha acabat preparant-ne dos per a cadascú.,,Li hem dit que no volíem entrepans però al final ha acabat preparant dos a cadascun.,1,"Li hem dit que no volíem entrepans, però al final ha acabat preparant dos a cadascú.",1,Li vam dir que no volíem entrepans però al final va acabar preparant-ne dos per a cadascun.,
La Càndida siempre dice cosas muy acertadas y al final todo el mundo le da la razón.,3,La Càndida sempre diu coses molt encertades i al final tothom hi dóna la raó.,1,La Càndida sempre diu coses molt encertades i al final tothom li dóna la raó.,,La Càndida sempre diu coses molt encertades i al final tothom li dóna la raó.,,La *Càndida sempre diu coses molt encertades i al final tothom li dona la raó.,,La Càndida sempre diu coses molt encertades i al final tothom li dona la raó.,,Candida sempre diu les coses correctes i al final tothom li dóna la raó.,
Deja de darle vueltas y no pienses más en ello.,2,Deixa de donar-hi voltes i no hi pensis més.,,Deixa de donar-li voltes i no pensis més en això.,1,Deixa d'aturar-se i no hi pensis més.,,Deixa de donar-li voltes i no pensis més en això.,1,Deixa de donar-li voltes i no pensis més en això.,1,Deixa de pensar-hi i no hi pensis més.,
Recoge melocotones para tu abuelo y llévaselos.,1,Recull préssecs per al teu avi i emporta-se'ls.,1,Recull préssecs per al teu avi i porta'ls-hi.,,Recol·lecta préssecs per al teu avi i porta-li'ls.,,Recull préssecs per al teu avi i porta'ls-hi.,,Recull préssecs per al teu avi i porta-li'ls.,,Tria préssecs per al teu avi i porta'ls a ell.,1
Le quería coger el puñal pero no consiguió quitárselo.,1,Li volia agafar el punyal però no va aconseguir treure'l.,1,Li volia agafar el punyal però no va aconseguir llevar-l'hi.,,Volia agafar-li el punyal però no va aconseguir lleva-li'l.,,Li volia agafar el punyal però no va aconseguir llevar-l'hi.,,"Volia agafar-li el punyal, però no va aconseguir treure-li'l.",,"Li volia treure el punyal, però no se'l va poder treure.",1
"Si se te rompen las gafas, te daremos unas nuevas.",2,"Si se't trenquen les ulleres, te'n donarem unes de noves.",,"Si se't trenquen les ulleres, et donarem unes noves.",1,"Si se't trenquen les ulleres, et donarem unes noves.",1,"Si se't trenquen les ulleres, et donarem unes noves.",1,"Si se t'espatllen les ulleres, te'n donarem unes de noves.",,"Si et trenquen les ulleres, te'n donarem de noves.",1
"Antonio tenía tanto aprecio por esa cajonera, que no se habría separado de ella por nada del mundo.",2,"Antonio tenia tanta estima per aquella calaixera, que no se n'hauria separat per res del món.",,"Antonio tenia tanta estima per aquesta calaixera, que no s'hauria separat d'ella per res del món.",1,"Antonio tenia tant apreci per aquell calaix, que no s'hauria separat d'ell per res del món.",1,"Antonio tenia tanta estima per aquesta calaixera, que no s'hauria separat d'ella per res del món.",1,Antoni tenia tant d'apreci per aquella calaixera que no se n'hauria separat per res del món.,,L'Antonio era tan aficionat a aquella calaixera que no se n'hauria separat per al món.,
Ya habíamos cometido el error y ahora no tenía sentido arrepentir-se.,2,Ja havíem comès l'error i ara no tenia sentit penedir-se'n.,,Ja havíem comès l'error i ara no tenia sentit penedir-es.,1,Ja havíem comès l'error i ara no tenia sentit penedir-se'n.,,Ja havíem comès l'error i ara no tenia sentit penedir-es.,1,Ja havíem comès l'error i ara no tenia sentit penedir-se.,1,Ja havíem comès l'error i ara no tenia sentit lamentar-se.,1
No sé qué hacen porque aún no los hemos visto.,3,No sé què fan perquè encara no els hem vist.,,No sé què fan perquè encara no els hem vist.,,No sé què fan perquè encara no els hem vist.,,No sé què fan perquè encara no els hem vist.,,No sé què fan perquè encara no els hem vist.,,No sé què fan perquè encara no els hem vist.,
Dice que hay muchas setas pero no ve ninguna.,2,Diu que hi ha molts bolets però no en veu cap.,,Diu que hi ha molts bolets però no veu cap.,1,Diuen que hi ha molts bolets però no en veuen cap.,1,Diu que hi ha molts bolets però no veu cap.,1,"Diu que hi ha moltes bolets, però no en veu cap.",,Diu que hi ha molts bolets però no en veu cap.,
Le gustaba el teatro pero no iba a menudo.,2,"Li agradava el teatre, però no anava sovint.",1,Li agradava el teatre però no anava sovint.,1,Li agradava el teatre però no hi anava sovint.,1,Li agradava el teatre però no anava sovint.,1,"Li agradava el teatre, però no hi anava sovint.",,Li agradava el teatre però no hi anava sovint.,1
Tenía muchos privilegios pero no quería renunicar a ellos.,2,Tenia molts privilegis però no volia renunicar-los,1,Tenia molts privilegis però no volia renunicar a ells.,1,Tenia molts privilegis però no volia renunciar-hi.,1,Tenia molts privilegis però no volia renunicar a ells.,1,"Tenia molts privilegis, però no volia renunciar-hi.",,"Tenia molts privilegis, però no volia renunciar-hi.",
